,Unnamed: 0,Topic,Traffic participation,Traffic participation.1,Traffic participation.2,Use of public transport,Use of public transport.1,Use of public transport.2
324,???,2010,"79,7","79,1",80,"8,4","9,2",8
325,???,2011,"80,2","79,4","80,7","9,2","10,8","8,2"
326,???,2012,"78,9","77,8","79,5","8,8","9,8","8,1"
327,???,2013,"79,2","77,6","80,2","8,9","10,9","7,7"
328,???,2014,"79,7","79,4","79,9",9,"10,3","8,1"
329,???,2015,"79,4",78,"80,2",9,"11,7","7,5"
330,???,2016,"78,5","77,9","78,9","8,6","9,8","7,8"
331,???,2017,"78,1",78,"78,2","9,4","11,3","8,2"
332,???,2010,"82,2","81,3","83,5","3,1","3,1",3
333,???,2011,"81,6","80,3","83,3","3,2","3,2","3,3"
334,???,2012,"81,2","79,9",83,"2,8","2,8","2,8"
335,???,2013,"81,9","81,1",83,"3,2","3,1","3,3"
336,???,2014,"82,4","81,2","84,2","2,9","2,9",3
337,???,2015,"81,2",80,"82,8","2,9","2,7","3,3"
338,???,2016,"81,3","79,8","83,5","3,1","3,2","2,8"
339,???,2017,81,"79,4","83,1","3,1","2,9","3,3"
340,Particip.: claiming disability benefit,2010,"69,7","67,9","71,4","4,3","3,2","5,3"
341,Particip.: claiming disability benefit,2011,"69,7","66,8","72,4","4,8","3,2","6,3"
342,Particip.: claiming disability benefit,2012,"67,6","67,9","67,4",5,"5,6","4,4"
343,Particip.: claiming disability benefit,2013,"70,2","65,9","73,8","4,1","2,8","5,3"
344,Particip.: claiming disability benefit,2014,"67,8","66,3",69,"5,4","4,8",6
345,Particip.: claiming disability benefit,2015,"69,7","69,9","69,5",4,"3,5","4,5"
346,Particip.: claiming disability benefit,2016,"67,5","68,3","66,7","4,7","3,9","5,6"
347,Particip.: claiming disability benefit,2017,68,"66,8",69,"4,5","3,7","5,1"
348,Categorie: baby's/kleuters,2010,"81,1","80,5","81,8","2,2",2,"2,6"
349,Categorie: baby's/kleuters,2011,"82,7","82,2","83,2",2,"1,8","2,2"
350,Categorie: baby's/kleuters,2012,"82,3",81,"83,7","2,1","1,9","2,3"
351,Categorie: baby's/kleuters,2013,"82,3","81,6",83,"1,6","1,2",2
352,Categorie: baby's/kleuters,2014,"83,6","84,1",83,"2,3",2,"2,5"
353,Categorie: baby's/kleuters,2015,"82,3","81,7",83,"1,9","1,9",2
354,Categorie: baby's/kleuters,2016,"83,1","83,7","82,3",2,"1,9","2,2"
355,Categorie: baby's/kleuters,2017,"82,5","84,1","80,9","2,3","2,4","2,2"
356,Participation: working 12 -29 h. a week,2010,"85,6",84,"85,9","6,4","11,8","5,4"
357,Participation: working 12 -29 h. a week,2011,86,"84,7","86,3","6,8","10,1","6,2"
358,Participation: working 12 -29 h. a week,2012,"84,7","81,2","85,4","6,4","9,8","5,7"
359,Participation: working 12 -29 h. a week,2013,"85,7","81,5","86,5","6,4","10,3","5,7"
360,Participation: working 12 -29 h. a week,2014,86,"84,4","86,4","5,9","10,9","4,9"
361,Participation: working 12 -29 h. a week,2015,"85,6","82,5","86,3","6,6","9,7","5,9"
362,Participation: working 12 -29 h. a week,2016,"85,3","78,9","86,7","6,5","10,9","5,6"
363,Participation: working 12 -29 h. a week,2017,84,"80,8","84,6","6,4",11,"5,5"
364,Participation: working >30 hours a week,2010,85,"84,1","87,1","7,3","5,9","10,8"
365,Participation: working >30 hours a week,2011,"84,5","83,6","86,6","7,7","6,2","11,4"
366,Participation: working >30 hours a week,2012,"84,7","83,6","87,2","7,1","5,9","9,8"
367,Participation: working >30 hours a week,2013,"84,7","84,2",86,"7,5","6,2","10,8"
368,Participation: working >30 hours a week,2014,"84,7","83,9","86,3",7,"5,6","10,2"
369,Participation: working >30 hours a week,2015,"84,2","83,5",86,"7,2","5,6","10,8"
370,Participation: working >30 hours a week,2016,"84,2","83,2","86,2","7,1","6,1","9,6"
371,Participation: working >30 hours a week,2017,"83,2","82,3","85,2","7,8","6,3","11,3"
372,Participation:student/scholier,2010,"83,8","82,9","84,7","12,5","10,9","14,1"
373,Participation:student/scholier,2011,"84,5","83,6","85,3","12,6","12,3","12,9"
374,Participation:student/scholier,2012,"83,5","83,7","83,3","12,3","11,7",13
375,Participation:student/scholier,2013,"83,6","83,4","83,9","13,3","11,7","14,8"
376,Participation:student/scholier,2014,"84,6","84,2",85,"12,8","11,6",14
377,Participation:student/scholier,2015,"82,8","82,5","83,1","13,3","11,8","14,8"
378,Participation:student/scholier,2016,"83,2","83,3","83,1","12,4","11,5","13,3"
379,Participation:student/scholier,2017,"82,1","81,3","82,9","12,6","12,1",13
380,Participation: unemployed,2010,"73,2","73,2","73,2",6,"4,2","8,7"
381,Participation: unemployed,2011,"74,6","71,7","79,1","9,3","7,5",12
382,Participation: unemployed,2012,"72,1","67,8","77,3",8,"7,4","8,7"
383,Participation: unemployed,2013,"74,8",73,"77,5","6,2","6,7","5,5"
384,Participation: unemployed,2014,"74,3","74,7","73,9","7,4","6,1","9,2"
385,Participation: unemployed,2015,"73,6","72,2","75,1",8,6,"10,3"
386,Participation: unemployed,2016,"71,6","71,8","71,4","7,9","5,9",10
387,Participation: unemployed,2017,"71,1","69,6",73,8,"6,2","10,2"
388,"Participation: unemployed, other",2010,"75,3","68,6","76,8","4,1","4,3",4
389,"Participation: unemployed, other",2011,"74,8","71,3","75,5","4,4","6,6","3,9"
390,"Participation: unemployed, other",2012,"75,7","70,9","76,7","3,5","5,3","3,2"
391,"Participation: unemployed, other",2013,"76,1",74,"76,5","4,4","5,3","4,2"
392,"Participation: unemployed, other",2014,"76,4","72,3","77,3","3,3","4,7",3
393,"Participation: unemployed, other",2015,"75,3",75,"75,3",4,"4,9","3,8"
394,"Participation: unemployed, other",2016,73,"67,4","74,4","4,7","4,8","4,7"
395,"Participation: unemployed, other",2017,"74,1","73,9","74,1","4,4","7,7","3,7"
396,Participation: retired,2010,"65,7",70,"61,9",3,"2,3","3,6"
397,Participation: retired,2011,"65,7","69,5","62,3","3,3","2,8","3,7"
398,Participation: retired,2012,"66,1","69,6","63,1","3,2","2,6","3,7"
399,Participation: retired,2013,"66,1","68,9","63,8","3,3",3,"3,6"
400,Participation: retired,2014,"67,7","71,6","64,3","3,1","2,5","3,5"
401,Participation: retired,2015,"66,2","68,3","64,3",3,"2,5","3,5"
402,Participation: retired,2016,"65,8","68,6","63,4",3,"2,6","3,3"
403,Participation: retired,2017,"65,8","69,7","62,6","2,9","2,7","3,1"
404,Students with week pass publ. transp.,2010,"85,6","86,4",85,"35,3","32,7","37,6"
405,Students with week pass publ. transp.,2011,"84,1","83,9","84,3","38,5","39,6","37,5"
406,Students with week pass publ. transp.,2012,"83,5","80,6",86,"37,2","37,8","36,7"
407,Students with week pass publ. transp.,2013,"82,5","81,1","83,8","41,3","37,5","44,6"
408,Students with week pass publ. transp.,2014,"83,7","84,2","83,3",37,"37,7","36,3"
409,Students with week pass publ. transp.,2015,82,"81,9","82,2","37,9",37,"38,8"
410,Students with week pass publ. transp.,2016,"81,6",81,"82,1","35,1","34,1","35,9"
411,Students with week pass publ. transp.,2017,"81,9","81,5","82,3","36,3","36,9","35,8"
412,Students with weekend pass publ. transp.,2010,88,"87,3","89,1","25,9","23,7","29,1"
413,Students with weekend pass publ. transp.,2011,"85,5","88,5","81,3",22,23,"20,7"
414,Students with weekend pass publ. transp.,2012,"90,7","86,6","96,3","25,8","23,3","29,2"
415,Students with weekend pass publ. transp.,2013,"88,8","88,8",,"22,3","19,3",
416,Students with weekend pass publ. transp.,2014,"93,6","91,6","95,4","25,7","19,1","31,7"
417,Students with weekend pass publ. transp.,2015,"84,4","82,4","86,2","27,8","29,1","26,6"
418,Students with weekend pass publ. transp.,2016,"84,5","74,6","92,7","24,1",23,"25,1"
419,Students with weekend pass publ. transp.,2017,"86,6","84,3","88,6","26,3","24,7","27,6"
420,Persons without student publ.transp.card,2010,"79,5","79,9","79,1","5,4","4,9","5,9"
421,Persons without student publ.transp.card,2011,"79,7",80,"79,4","5,6","5,1","6,1"
422,Persons without student publ.transp.card,2012,"79,3","79,9","78,9","5,3","5,1","5,5"
423,Persons without student publ.transp.card,2013,"79,6",80,"79,3","5,5","5,2","5,8"
424,Persons without student publ.transp.card,2014,80,"80,6","79,4","5,3","4,9","5,7"
425,Persons without student publ.transp.card,2015,"79,1","79,4","78,7","5,4","4,7","6,1"
426,Persons without student publ.transp.card,2016,"78,8","79,3","78,4","5,5","5,2","5,7"
427,Persons without student publ.transp.card,2017,"78,1","78,8","77,5","5,4","5,2","5,6"
428,Equivalised income: 1th 20%-group,2010,"75,2","76,4","74,2","8,5","7,8","9,2"
429,Equivalised income: 1th 20%-group,2011,76,"77,5","74,7","9,2","9,1","9,3"
430,Equivalised income: 1th 20%-group,2012,"75,7","76,3","75,3",9,"9,2","8,8"
431,Equivalised income: 1th 20%-group,2013,"76,5","76,1","76,9","9,8","8,9","10,6"
432,Equivalised income: 1th 20%-group,2014,"76,5","77,1","75,9","8,9","8,3","9,5"
433,Equivalised income: 1th 20%-group,2015,"75,5",77,"74,2","9,7","8,4","10,8"
434,Equivalised income: 1th 20%-group,2016,"74,6","76,1","73,3","8,9",8,"9,7"
435,Equivalised income: 1th 20%-group,2017,"74,2","74,4","74,1","10,6","10,2",11
436,Equivalised income: 2th 20%-group,2010,"78,6","79,7","77,5","6,3","5,1","7,4"
437,Equivalised income: 2th 20%-group,2011,"78,4",79,"77,8","5,8",5,"6,4"
438,Equivalised income: 2th 20%-group,2012,"78,2","78,7","77,8","5,9","5,8",6
439,Equivalised income: 2th 20%-group,2013,"78,6","79,7","77,6","5,6","5,4","5,8"
440,Equivalised income: 2th 20%-group,2014,78,"78,5","77,4","5,1","4,4","5,7"
441,Equivalised income: 2th 20%-group,2015,"76,4","76,9","76,1","5,4","4,4","6,4"
442,Equivalised income: 2th 20%-group,2016,77,"78,1","76,1","5,3","5,3","5,3"
443,Equivalised income: 2th 20%-group,2017,"73,5","76,1","71,3","6,2","5,8","6,5"
444,Equivalised income: 3th 20%-group,2010,"81,6","81,6","81,7","5,9","5,5","6,3"
445,Equivalised income: 3th 20%-group,2011,"81,5","81,4","81,6","6,7","6,1","7,3"
446,Equivalised income: 3th 20%-group,2012,"80,3",81,"79,6","5,8","5,4","6,2"
447,Equivalised income: 3th 20%-group,2013,"80,6","81,1","80,1","6,2","5,5","6,8"
448,Equivalised income: 3th 20%-group,2014,"82,3","81,5",83,"6,4","6,5","6,2"
449,Equivalised income: 3th 20%-group,2015,"81,5",81,"81,9","5,7","5,1","6,3"
450,Equivalised income: 3th 20%-group,2016,"81,1","81,2",81,6,"5,2","6,8"
451,Equivalised income: 3th 20%-group,2017,"79,7","80,6","78,8","5,9","5,6","6,1"
452,Equivalised income: 4th 20%-group,2010,"83,4","83,6","83,2","6,7","6,5",7
453,Equivalised income: 4th 20%-group,2011,"82,1","81,6","82,6","6,7","6,4",7
454,Equivalised income: 4th 20%-group,2012,"83,1","82,8","83,3","6,3",6,"6,6"
455,Equivalised income: 4th 20%-group,2013,82,"82,3","81,7","6,1","5,9","6,3"
456,Equivalised income: 4th 20%-group,2014,"82,9","83,4","82,4","5,9","4,9","6,8"
457,Equivalised income: 4th 20%-group,2015,"82,5","82,2","82,9","6,7","6,8","6,7"
458,Equivalised income: 4th 20%-group,2016,"82,4","81,3","83,6","6,2","5,7","6,6"
459,Equivalised income: 4th 20%-group,2017,81,"80,7","81,2","6,1","6,1",6
460,Equivalised income: 5th 20%-group,2010,"81,6","80,4","82,9",6,"5,5","6,6"
461,Equivalised income: 5th 20%-group,2011,"82,8","81,6","84,2","6,8","6,3","7,4"
462,Equivalised income: 5th 20%-group,2012,"81,9","81,6","82,2","5,9","5,5","6,4"
463,Equivalised income: 5th 20%-group,2013,"82,5","81,7","83,4","6,9","6,4","7,4"
464,Equivalised income: 5th 20%-group,2014,"83,4","84,3","82,3","6,4","6,6","6,2"
465,Equivalised income: 5th 20%-group,2015,82,"81,5","82,5","6,4","5,9","6,9"
466,Equivalised income: 5th 20%-group,2016,"82,3","81,2","83,4","6,9","7,2","6,6"
467,Equivalised income: 5th 20%-group,2017,"82,1","81,2","83,1","7,1","6,8","7,4"
468,Bron: CBS,,,,,,,
